areaName,Borough,areaType,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
All Downtown,Manhattan,submarket,1317500,1579500,1420000,1337500,1375000,1337500,1504668,1525641.5,1325000,1150000,1410000,1318430,1350000,1410000,1350000,1523641.5,1537469,2287500,1252500,1364455,1385000,1350000,1364429,1480000,1391500,1192500,1113500,1432963,1354300,1006500,1260000,1155000,1525000,1140000,1587500,1315750,1390000,1337500,1412000,1422500,1475000,1596280.5,1550000,1317360,1450000,1625000,1380000,1485000,1573196,1577500,1600000,1629600,1472500,1625000,1401546,1400000,1400108,1335000,1450000,1374637,1399420,1257500,1500000,1345208.5,1414699,1550000,1529500,1400000,1412766,1230266,1372500,1575000
All Midtown,Manhattan,submarket,853000,942000,960000,865000,856038.5,850000,870000,850000,845000,890000,957000,939000,926608,951500,1020000,913500,995000,945000,866500,835000,825000,860000,855000,990000,904000,1150000,875000,805000,810000,782500,840000,791250,830000,740000,785000,855000,719000,750000,828750,812500,780000,880000,859000,925000,852500,875000,872500,934250,870000,900000,850000,975000,918000,850000,867500,870000,780000,792500,1030000,887500,797500,812500,900000,900000,950000,935000,882938.5,830000,872500,828750,830000,1197500
All Upper East Side,Manhattan,submarket,1175000,1022000,1260000,1215000,1171639,1100000,1160805,1047500,1200000,1275000,1100000,1125000,875000,1210000,1145000,1137385,1108000,2076500,948500,1187162.5,955000,1025000,957500,955000,1150000,1013500,970000,1300000,925000,1050000,1300000,945000,1062500,925000,925000,1075000,930000,1099000,1107500,1020000,1130000,1275000,1250000,1150000,999450,1100000,1062500,1150000,1355000,981500,1217500,1425000,1200000,1150000,1235000,1120000,1225000,997000,1100000,1225000,1215000,1340000,1150000,1265000,1255000,1075000,1100000,1200000,1150000,1282500,1220000,1210000
All Upper Manhattan,Manhattan,submarket,625000,547500,582500,646250,580000,704213.5,645000,712500,650000,620000,607500,540000,623250,552500,730000,555000,715000,675000,609375,590000,587500,573750,706387,695000,699000,695000,630000,597000,577000,593130,571000,704500,635000,585292,590000,685000,701250,585000,687500,625000,615000,710000,686500,690000,627000,650000,625000,735000,640000,781000,775901,709975,737000,723000,640000,685000,685000,592000,496860,457500,543000,659000,645000,465000,667500,534790.5,625000,605900,575000,622250,539750,547500
All Upper West Side,Manhattan,submarket,973468.5,1250000,1250000,1480000,1348888,985000,1205000,1220000,1088500,1075000,999000,1156501,1075000,1100000,1272500,1375000,1300000,1500000,935000,999000,1086000,975000,975000,1147765.5,1100000,1497500,1643750,1875000,1300000,1490000,1185721.5,1250000,1062500,1312500,1302502.5,1175000,1175000,902500,1060000,1055000,1090000,1330000,1325000,792500,1150000,1200000,1200000,1412500,1557500,1175000,1325000,1205000,1167500,1275000,1260000,1260000,1315000,1120000,985000,998420,1097441.5,1150000,1050000,1100000,1222500,1405000,1147500,1135000,1092500,1135265.5,1200000,1050000
Battery Park City,Manhattan,neighborhood,1085000,,1009125,920000,975000,1375000,1494500,744999.5,,917945,,,,1505772,602500,1247500,,,,,1325000,1187500,1080748,1970000,,,800000,,,,,,,,,747500,775000,987500,,885000,1535000,1065000,1470000,1510000,1870000,900000,,849500,1385000,964000,1505000,999999,1236289,1002500,885000,1192487.5,1394800,1225880,1245000,1466250,1465000,1575000,1400000,1277700,850000,1455000,1229019.5,905112,1414779.5,965000,1180000,895449
Central Harlem,Manhattan,neighborhood,699000,685000,640748.5,770000,665000,872500,893000,879000,788000,800000,715000,625500,963000,812000,725000,800000,908750,450000,677000,957500,625000,618750,958000,842500,866483,740776.5,915000,750000,581700,774737,770305.5,818000,812810,877500,863000,825000,968750,647500,962500,820000,742000,872801.5,930000,875800,825000,699000,785000,933750,690000,826264,866679.5,946788.5,990000,850000,712500,858000,830000,757000,515000,640000,585000,672357,775000,595000,800000,587500,657500,680000,707500,740000,700000,680000
Central Park South,Manhattan,neighborhood,,,,,,,,,,995000,,,,,,,1687500,,,,,,,,,,,,,,,,,,,,,,,,,1632500,,,1950000,,,,,2114000,1072500,,,,,,,,,,,,,,,,,,,,,
Chelsea,Manhattan,neighborhood,965000,1650000,1012250,985000,985000,1085000,1399000,1392500,1507500,1050000,1026287.5,840000,1127500,860000,950000,1626500,999000,905000,1134150,940000,1170000,1215000,857500,1650000,979000,911500,855000,1492500,1450000,935000,942000,1100000,1730000,1797500,2020000,1110000,1245000,1006300,1375000,1490000,1512500,1737500,1555000,1275000,1160000,1825000,1187500,1590000,1325000,1580000,1467500,1700000,1150000,1315000,1165000,1540750,1490000,1607500,1540000,1065000,1125000,975000,1485000,1550000,1325000,1200000,1044725,1247356,1549000,1711400,1765968,1930000
Chinatown,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Center,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Harlem,Manhattan,neighborhood,,,,,,,,759232,,,,,,,,,767500,933440,617500,703000,,,,820712,630000,,,,,,,,,,,,,,,,,680000,,771375,,,,,,,,705000,,632500,640000,,,649700,592701,,,,,,,,650000,,,,,
