areaName,Borough,areaType,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
All Downtown,Manhattan,submarket,3650,3750,3735,3750,3837,3800,3795,3800,3825,3800,3853,3800,3800,3850,3800,3939,4000,4051,4000,3995,4000,4050,4050,4000,4000,3999,3995,3852,3700,3607,3500,3395,3295,3200,3140,3150,3150,3195,3200,3215,3350,3595,3800,4000,4195,4300,4362,4400,4500,4595,4595,4730,4800,4770,4800,4800,4873,4850,4795,4800
All Midtown,Manhattan,submarket,3378,3395,3390,3450,3500,3500,3500,3500,3500,3525,3500,3550,3500,3550,3536,3578,3625,3677,3700,3705,3700,3685,3702,3700,3700,3700,3693,3555,3382,3245,3100,3000,2975,2900,2895,2895,2900,2931,2995,3000,3159,3267,3495,3600,3850,3950,4095,4148,4300,4320,4300,4395,4400,4395,4450,4294,4350,4285,4260,4350
All Upper East Side,Manhattan,submarket,2900,2895,2850,2850,2850,2900,2925,2900,2895,2995,2995,3000,3000,3000,2995,2995,3000,3050,3050,2995,3000,3100,3225,3295,3281,3250,3250,3195,3065,2950,2800,2700,2650,2500,2495,2500,2450,2475,2400,2400,2475,2499,2550,2700,2850,2950,3200,3390,3450,3550,3400,3400,3500,3500,3550,3750,3750,3800,3847,3826
All Upper Manhattan,Manhattan,submarket,2275,2295,2308,2350,2383,2400,2449,2400,2350,2350,2300,2300,2300,2345,2375,2400,2450,2500,2500,2495,2450,2395,2350,2350,2393,2400,2450,2470,2445,2425,2400,2350,2295,2250,2212,2200,2200,2180,2193,2200,2250,2295,2300,2300,2300,2300,2300,2350,2399,2400,2429,2500,2550,2700,2793,2750,2700,2700,2650,2600
All Upper West Side,Manhattan,submarket,3350,3285,3250,3285,3300,3350,3320,3313,3395,3395,3350,3395,3395,3350,3395,3450,3463,3450,3400,3500,3600,3600,3650,3570,3650,3586,3508,3413,3300,3200,3150,3000,2925,2819,2800,2817,2800,2850,2800,2850,3000,3000,3200,3299,3557,3650,3800,3950,3996,4000,4100,4247,4250,4206,4450,4450,4500,4500,4500,4460
Battery Park City,Manhattan,neighborhood,4150,4078,4050,4275,4648,4520,4650,4854,4993,4854,4500,4365,4415,4495,4300,4400,4943,5120,5190,4750,4675,4895,5250,4985,4431,4190,4200,4295,4500,4500,4275,4229,4190,3995,3750,3850,3800,3960,3997,4000,3995,4140,4300,4520,4400,4253,4660,5260,5044,5100,4758,4740,5080,5250,5613,5600,5300,5313,5048,5325
Central Harlem,Manhattan,neighborhood,2400,2450,2500,2550,2500,2500,2550,2600,2500,2475,2425,2420,2468,2475,2499,2595,2650,2700,2667,2695,2600,2550,2563,2500,2500,2500,2500,2500,2600,2595,2550,2500,2400,2400,2400,2385,2300,2300,2300,2300,2350,2450,2452,2400,2473,2453,2424,2475,2500,2533,2594,2642,2700,2983,3050,2995,2850,2800,2900,2885
Central Park South,Manhattan,neighborhood,7000,7225,7500,7495,6800,6800,7500,7225,7820,7650,8999,7800,7350,7550,7450,7500,6721,6950,6800,6600,6500,7450,7425,7500,7998,7575,7950,8100,7475,6850,6185,6093,6185,6500,6650,6500,6948,7000,6800,7000,6800,7175,7200,7250,8250,8500,8500,9000,8000,7475,8500,8375,9000,9000,11500,10000,10000,10000,10000,9675
Chelsea,Manhattan,neighborhood,3945,4000,4000,3995,3995,4003,3995,4080,4149,4026,4000,4036,4008,4250,4150,4250,4295,4476,4403,4368,4329,4327,4298,4230,4100,4176,4200,3993,3850,3850,3650,3550,3445,3372,3300,3400,3400,3500,3600,3500,3695,3900,4196,4495,4506,4700,4795,4650,4859,4922,4974,5195,5148,5147,5200,5195,5266,5450,5192,5138
Chinatown,Manhattan,neighborhood,2673,2700,2695,2600,2900,2900,2700,2800,2873,2550,2799,2800,2700,2800,2563,2700,2700,3000,3000,2600,2500,3000,2950,3200,3275,2695,3300,3000,2985,2935,2796,2700,2433,2400,2400,2350,2400,2395,2300,2498,2450,2450,2495,2500,2800,3150,2675,2473,2900,3000,3448,3195,3200,3573,2950,3000,3000,3295,2995,2885
East Harlem,Manhattan,neighborhood,2295,2298,2350,2250,2350,2350,2325,2300,2300,2296,2250,2200,2250,2387,2400,2400,2428,2399,2500,2450,2433,2400,2389,2375,2400,2400,2450,2495,2450,2300,2345,2295,2248,2195,2150,2095,2100,2000,2000,2095,2195,2250,2295,2295,2275,2250,2250,2275,2400,2525,2498,2593,2700,2695,2750,2800,2700,2700,2725,2695
East Village,Manhattan,neighborhood,2995,3000,3050,3285,3485,3456,3389,3395,3283,3200,3150,3100,3099,3185,3195,3400,3500,3595,3550,3450,3400,3400,3395,3100,3200,3230,3195,3250,3250,3200,3100,2995,2850,2749,2699,2600,2595,2520,2600,2700,2850,3150,3400,3385,3400,3495,3600,3700,3795,3900,3925,4100,4250,4250,4200,4100,4000,4000,3995,3925
Financial District,Manhattan,neighborhood,3565,3720,3595,3565,3580,3600,3702,3783,3753,3735,3692,3640,3695,3755,3660,3857,3827,3855,3850,3750,3771,3750,3773,3700,3754,3795,3750,3598,3529,3450,3300,3295,3200,3200,3195,3174,3164,3244,3291,3375,3400,3650,4000,4095,4350,4350,4300,4408,4495,4500,4300,4350,4400,4395,4396,4480,4500,4395,4350,4350
